"astro-ph/0408131","Alberto Moretti","A. Moretti (1), L. Guzzo (1), S. Campana (1), D. Lazzati (2), M.R.
  Panzera (1), G. Tagliaferri (1), S. Arena (1), F. Braglia (1), I.
  Dell'Antonio (3), M. Longhetti (1) ((1)INAF-O.A.Brera; (2)IoA Cambridge;
  (3)Brown University)","The Brera Multi-scale Wavelet HRI Cluster Survey: I Selection of the
  Sample and Number Counts","18 pages, 16 figures, accepted by A&A. Final version with the editor
  corrections","Astron.Astrophys. 428 (2004) 21-37","10.1051/0004-6361:20041326",,"astro-ph",,"  We describe the construction of the Brera Multi-scale Wavelet (BMW) HRI
Cluster Survey, a deep sample of serendipitous X-ray selected clusters of
galaxies based on the ROSAT HRI archive. This is the first cluster catalog
exploiting the high angular resolution of this instrument. Cluster candidates
are selected on the basis of their X-ray extension only, a parameter which is
well measured by the BMW wavelet detection algorithm. The survey includes 154
candidates over a total solid angle of ~160 deg2 at 10^{-12}erg s^{-1} cm^{-2}
and ~80 deg^2 at 1.8*10^{-13} erg s^{-1}$ cm^{-2}. At the same time, a fairly
good sky coverage in the faintest flux bins (3-5*10^{-14}erg s^{-1} cm^{-2})
gives this survey the capability to detect a few clusters with z\sim 1-1.2,
depending on evolution. We present the results of extensive Monte Carlo
simulations, providing a complete statistical characterization of the survey
selection function and contamination level. We also present a new estimate of
the surface density of clusters of galaxies down to a flux of 3*10^{-14}erg
s^{-1} cm^{-2}, which is consistent with previous measurements from PSPC-based
samples. Several clusters with redshifts up to z=0.92 have already been
confirmed, either by cross-correlation with existing PSPC surveys or from early
results of an ongoing follow-up campaign. Overall, these results indicate that
the excellent HRI PSF (5 arcsec ~FWHM on axis) more than compensates for the
negative effect of the higher instrumental background on the detection of
high-redshift clusters. In addition, it allows us to detect compact clusters
that could be lost at lower resolution, thus potentially providing an important
new insight into cluster evolution.
","[{""version"":""v1"",""created"":""Fri, 6 Aug 2004 16:33:30 GMT""},{""version"":""v2"",""created"":""Wed, 22 Sep 2004 13:58:37 GMT""}]","2009-11-10"
"astro-ph/0408132","Eric Hayashi","E. Hayashi (1), J. F. Navarro (1), A. Jenkins (2), C. S. Frenk (2),
  Chris Power (2), S. D. M. White (3), V. Springel (3), J. Stadel (4), T. Quinn
  (5), and J. Wadsley (6) ((1) University of Victoria, (2) University of
  Durham, (3) Max Planck Institute for Astrophysics, Garching, (4) University
  of Zurich, (5) University of Washington, (6) McMaster University)","Disk Galaxy Rotation Curves in Triaxial CDM Halos","4 pages, 4 postscript figures, submitted to ApJ Letters (high
  resolution version available at
  http://astrowww.phys.uvic.ca/~ehayashi/astro/TriaxLet.ps",,,,"astro-ph",,"  We use N-body hydrodynamical simulations to study the structure of disks in
triaxial potentials resembling CDM halos. Our analysis focuses on the accuracy
of the dark mass distribution inferred from rotation curves derived from
simulated long-slit spectra. We consider a massless disk embedded in a halo
with axis ratios of 0.5:0.6:1.0 and with its rotation axis aligned with the
minor axis of the halo. Closed orbits for the gaseous particles deviate from
coplanar circular symmetry, resulting in a variety of long-slit rotation curve
shapes, depending on the orientation of the disk relative to the line of sight.
Rotation curves may thus differ significantly from the spherically-averaged
circular velocity profile of the dark matter halo. ""Solid-body"" rotation
curves--typically interpreted as a signature of a constant density core in the
dark matter distribution--are obtained about 25% of the time for random
orientations although the dark matter follows the cuspy density profile
proposed by Navarro, Frenk & White (NFW). We conclude that the discrepancies
reported between the shape of the rotation curve of low surface brightness
galaxies and the structure of CDM halos may be resolved once the complex
effects of halo triaxiality on the dynamics of the gas component is properly
taken into account.
","[{""version"":""v1"",""created"":""Fri, 6 Aug 2004 20:39:37 GMT""}]","2007-05-23"
"astro-ph/0408133","Denise R. Goncalves","D. R. Goncalves (Instituto de Astrofisica de Canarias - Spain), A.
  Mampaso (Instituto de Astrofisica de Canarias - Spain), R. L. M. Corradi
  (Isaac Newton Group of Telescopes - Spain), M. Perinotto (Universita di
  Firenze - Italy), A. Riera (Universitat Politecnica de Catalunya - Spain) and
  L. Lopez-Martin (Instituto de Astrofisica de Canarias - Spain)","K 4-47: a planetary nebula excited by photons and shocks","9 pages including 4 figures and 2 tables. MNRAS in press",,"10.1111/j.1365-2966.2004.08295.x",,"astro-ph",,"  K 4-47 is an unusual planetary nebula composed of a compact high-ionization
core and a pair of low-ionization knots. Long-slit medium-resolution spectra of
the knots and core are analyzed in this paper. Assuming photoionization from
the central star, we have derived physical parameters for all the nebular
components, and the (icf) chemical abundances of the core, which appear similar
to Type-I PNe for He and N/O but significantly deficient in oxygen. The nebula
has been further modelled using both photoionization (CLOUDY) and shock
(MAPPINGS) codes. From the photoionization modelling of the core, we find that
both the strong auroral [O III] 4363A and [N II] 5755A emission lines observed
and the optical size of the core cannot be accounted for if a homogeneus
density is adopted. We suggest that a strong density stratification, matching
the high-density core detected at radio wavelengths and the much lower density
of the optical core, might solve the problem. From the bow-shock modelling of
the knots, on the other hand, we find that knots' chemistry is also represented
by Type-I PN abundances, and that they would move with velocities of 250 - 300
km/s.
","[{""version"":""v1"",""created"":""Fri, 6 Aug 2004 21:05:28 GMT""}]","2009-11-10"
"astro-ph/0408134","Jeroen M. Stil","J. M. Stil, A. D. Gray, and J. I. Harnett","HI Distribution and Kinematics of UGCA 86","27 pages, 11 figures, external as gif. A PDF file with figures
  included is temporarily available from
  http://www.ras.ucalgary.ca/~stil/ugca86.html Accepted for publication in the
  Astrophysical Journal","Astrophys.J. 625 (2005) 130-142","10.1086/424962",,"astro-ph",,"  We present 21-cm HI line and 408 MHz and 1.4 GHz continuum observations of
the dwarf galaxy UGCA 86 with the DRAO synthesis telescope. UGCA 86 is detected
in the continuum at 408 MHz (S_{408} = 120 +/- 30 mJy) and 1.4 GHz (S_{1400} =
79 +/- 3 mJy). The HI structure of UGCA 86 is complex, with two separate
components: a rotating disk and a highly elongated spur that is kinematically
disjunct from the disk. The HI disk is centered on the optical galaxy with
similar axial ratio and orientation of the major axis. An area of the disk with
a peculiar velocity of 25 km/s relative to the regular rotation of the disk is
found on the southern side, where most of the star formation is concentrated.
The spur is seen along the minor axis of UGCA 86 and overlaps in part with the
disk. Towards the optical center of UGCA 86, the velocity difference between
the spur and the disk is 40 km/s, about one third of the rotation velocity of
the HI disk at 6 kpc from the center. This implies a large radial component of
the orbital velocity of the spur, and therefore a significantly non-circular
orbit. The velocity dispersion of the disk is 8.8 km/s, whereas the velocity
dispersion of the spur varies from 10 km/s to 30 km/s. A possible tidal origin
of the spur is considered in view of the proximity of the large Scd galaxy IC
342. However, evidence that the spur is located far outside the plane of the HI
disk, and the absence of evidence for a warp in the outer HI disk, poses a
problem for the interpretation of the spur as a tidal tail induced by IC 342.
Detailed modelling of the IC 342/UGCA 86 system will be required before a tidal
origin of the spur can be dismissed conclusively. The possibility that the spur
is part of the nascent cloud of UGCA 86 or the remains of a small dwarf galaxy
is presented as an alternative interpretation.
","[{""version"":""v1"",""created"":""Fri, 6 Aug 2004 23:50:38 GMT""}]","2009-11-10"
"astro-ph/0408136","Min S. Yun","Hemant Shukla (Caltech/OVRO), Min S. Yun (UMass), & N. Z. Scoville
  (Caltech)","Dense Ionized and Neutral Gas Surrounding Sgr A*","34 pages including 11 figures (4 jpgs), Latex, uses aastex. The full
  pdf format file including high resolution figures is available at
  http://www.astro.umass.edu/~myun/papers/SgrA.pdf . To appear in the 20
  November 2004 (V616) issue of the Astrophysical Journal","Astrophys.J. 616 (2004) 231-246","10.1086/424868",,"astro-ph",,"  We present high resolution H41a hydrogen recombination line observations of
the 1.2' (3 pc) region surrounding Sgr A* at 92 GHz using the OVRO Millimeter
Array with an angular resolution of 7"" x 3"" and velocity resolution of 13 km/s.
New observations of H31a, H35a, H41a, and H44a lines were obtained using the
NRAO 12-m telescope, and their relative line strengths are interpreted in terms
of various emission mechanisms. These are the most extensive and most sensitive
observations of recombination line to date. Observations of HCO+ (1 - 0)
transition at 89 GHz are also obtained simultaneously with a 40% improved
angular resolution and 4-15 times improved sensitivity over previous
observations, and the distribution and kinematics of the dense molecular gas in
the circumnuclear disk (CND) are mapped and compared with those of the ionized
gas. The line brightness ratios of the hydrogen recombination lines are
consistent with purely spontaneous emission from 7000 K gas with n_e = 20,000
cm$^{-3}$ near LTE condition. A virial analysis suggests that the most
prominent molecular gas clumps in the CND have mean densities of 10^7 cm^{-3},
sufficient to withstand the tidal shear in the Galactic Center region.
Therefore, these clumps may survive over several dynamical times, and the CND
may be a dynamically stable structure. We estimate a total gas mass of 3 x 10^5
solar mass for the CND. \
","[{""version"":""v1"",""created"":""Sat, 7 Aug 2004 03:40:31 GMT""}]","2009-11-10"
"astro-ph/0408137","Denise Hurley-Keller","Denise Hurley-Keller, Heather L. Morrison, Paul Harding & George
  Jacoby","Planetary Nebulae Kinematics in M31","accepted to ApJ; main body of paper is 36 pages, including 14 figures","Astrophys.J. 616 (2004) 804-820","10.1086/425110",,"astro-ph",,"  We present kinematics of 135 planetary nebulae in M31 from a survey covering
3.9 square degrees and extending out to 15 kpc from the southwest major axis
and more than 20 kpc along the minor axis. The majority of our sample, even
well outside the disk, shows significant rotational support (mean line-of-sight
velocity 116 km/s). We argue that these PN belong to the outer part of M31's
large de Vaucouleurs bulge. Only five PN have velocities clearly inconsistent
with this fast rotating bulge. All five may belong to tidal streams in M31's
outer halo. One is projected on the Northern Spur, and is counter-rotating with
respect to the disk there. Two are projected along the major axis at X=-10 kpc
and have M32-like velocities; they could be debris from that galaxy. The
remaining two halo PN are located near the center of the galaxy and their
velocities follow the gradient found by Ibata et al. (2004), implying that
these PN could belong to the Southern Stream. If M31 has a non-rotating,
pressure-supported halo, we have yet to find it, and it must be a very minor
component of the galaxy.
","[{""version"":""v1"",""created"":""Sat, 7 Aug 2004 07:09:10 GMT""}]","2016-08-30"
"cond-mat/0408142","Daniel Bilc","Daniel Bilc, S. D. Mahanti, Kuei-Fang Hsu, Eric Quarez, Robert
  Pcionek, M. G. Kanatzidis","Resonant States in the Electronic Structure of the High Performance
  Thermoelectrics AgPb$_{m}SbTe$_{2+m}$ ; The Role of Ag-Sb Microstructures","Accepted in Physical Review Letters","Phys. Rev. Lett. 93 (14): 146403 (2004)","10.1103/PhysRevLett.93.146403",,"cond-mat.mtrl-sci",,"  Ab initio electronic structure calculations based on gradient corrected
density functional theory were performed on a class of novel quaternary
compounds AgPb$_{m}SbTe$_{2+m}$, which were found to be excellent high
temperature thermoelctrics with large figure of merit ZT ~2.2 at 800K. We find
that resonant states appear near the top of the valence and bottom of the
conduction bands of bulk PbTe when Ag and Sb replace Pb. These states can be
understood in terms of modified Te-Ag(Sb) bonds. Electronic structure near the
gap depends sensitively on the microstructural arrangements of Ag-Sb atoms,
suggesting that large ZT values may originate from the nature of these ordering
arrangements.
","[{""version"":""v1"",""created"":""Fri, 6 Aug 2004 18:49:51 GMT""},{""version"":""v2"",""created"":""Wed, 11 Aug 2004 18:54:00 GMT""}]","2008-05-06"
"cond-mat/0408143","Giovani L. Vasconcelos","Giovani L. Vasconcelos","A Guided Walk Down Wall Street: an Introduction to Econophysics","27 pages, 12 figures, lecture notes to appear in the Brazilian
  Journal of Physics","Braz. J. Phys. 34, 1039-1065 (2004). Available online at
  http://pcsbf1.sbfisica.org.br/bjp/Vol34/Num3b","10.1590/S0103-97332004000600002",,"cond-mat.other q-fin.ST",,"  This article contains the lecture notes for the short course ``Introduction
to Econophysics,'' delivered at the II Brazilian School on Statistical
Mechanics, held in Sao Carlos, Brazil, in February 2004. The main goal of the
present notes is twofold: i) to provide a brief introduction to the problem of
pricing financial derivatives in continuous time; and ii) to review some of the
related problems to which physicists have made relevant contributions in recent
years.
","[{""version"":""v1"",""created"":""Fri, 6 Aug 2004 16:53:46 GMT""}]","2017-08-23"
"cond-mat/0408144","Sarah Thompson","S. T. Thompson, E. Hodby, and C. E. Wieman","Spontaneous Dissociation of 85Rb Feshbach Molecules","4 pages, 3 figures",,"10.1103/PhysRevLett.94.020401",,"cond-mat.other",,"  The spontaneous dissociation of 85Rb dimers in the highest lying vibrational
level has been observed in the vicinity of the Feshbach resonance which was
used to produce them. The molecular lifetime shows a strong dependence on
magnetic field, varying by three orders of magnitude between 155.5 G and 162.2
G. Our measurements are in good agreement with theoretical predictions in which
molecular dissociation is driven by inelastic spin relaxation. Molecule
lifetimes of tens of milliseconds can be achieved close to resonance.
","[{""version"":""v1"",""created"":""Fri, 6 Aug 2004 17:12:02 GMT""},{""version"":""v2"",""created"":""Sat, 7 Aug 2004 18:40:58 GMT""}]","2009-11-10"
"cond-mat/0408145","Leif Roschier","Leif Roschier, Mika Sillanpaa and Pertti Hakonen","Quantum capacitive phase detector","5 pages, published form","Phys. Rev. B 71, 024530 (2005)","10.1103/PhysRevB.71.024530",,"cond-mat.mes-hall",,"  We discuss how a single Cooper-pair transistor may be used to detect the
superconducting phase difference by using the phase dependence of the input
capacitance from gate to the ground. The proposed device has a low power
dissipation because its operation is in principle free from quasiparticle
generation. According to the sensitivity estimates the device may be used for
efficient qubit readout in a galvanically isolated and symmetrized circuit.
","[{""version"":""v1"",""created"":""Fri, 6 Aug 2004 18:07:48 GMT""},{""version"":""v2"",""created"":""Fri, 8 Oct 2004 09:17:22 GMT""},{""version"":""v3"",""created"":""Fri, 25 Feb 2005 10:36:23 GMT""}]","2009-11-10"
